YEAR,CHAMPION,RUNNER UP,Champ_code,runner_code,Champ_URL,Runner_URL
1930,Uruguay,Argentina,URY,ARG,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
1990,Germany,Argentina,DEU,ARG,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
2014,Germany,Argentina,DEU,ARG,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
1950,Uruguay,Brazil,URY,BRA,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
1998,France,Brazil,FRA,BRA,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
1954,Germany,Hungary,DEU,HUN,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif,https://www.worldometers.info//img/flags/small/tn_hu-flag.gif
1938,Italy,Hungary,ITA,HUN,https://www.worldometers.info//img/flags/small/tn_it-flag.gif,https://www.worldometers.info//img/flags/small/tn_hu-flag.gif
1974,Germany,Netherlands,DEU,NLD,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif,https://www.worldometers.info//img/flags/small/tn_nl-flag.gif
1978,Argentina,Netherlands,ARG,NLD,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif,https://www.worldometers.info//img/flags/small/tn_nl-flag.gif
2010,Spain,Netherlands,ESP,NLD,https://www.worldometers.info//img/flags/small/tn_sp-flag.gif,https://www.worldometers.info//img/flags/small/tn_nl-flag.gif
2018,France,Croatia,FRA,HRV,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
1982,Italy,Germany,ITA,DEU,https://www.worldometers.info//img/flags/small/tn_it-flag.gif,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
2002,Brazil,Germany,BRA,DEU,https://www.worldometers.info//img/flags/small/tn_br-flag.gif,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
1986,Argentina,Germany,ARG,DEU,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
2006,Italy,France,ITA,FRA,https://www.worldometers.info//img/flags/small/tn_it-flag.gif,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
2022,Argentina,France,ARG,FRA,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
1958,Brazil,Sweden,BRA,SWE,https://www.worldometers.info//img/flags/small/tn_br-flag.gif,https://www.worldometers.info//img/flags/small/tn_sw-flag.gif
1970,Brazil,Italy,BRA,ITA,https://www.worldometers.info//img/flags/small/tn_br-flag.gif,https://www.worldometers.info//img/flags/small/tn_it-flag.gif
1994,Brazil,Italy,BRA,ITA,https://www.worldometers.info//img/flags/small/tn_br-flag.gif,https://www.worldometers.info//img/flags/small/tn_it-flag.gif
